source,house_is,property_subtype,price,postcode,area,rooms_number,equipped_kitchen_has,garden,garden_area,terrace,terrace_area,furnished,swimming_pool_has,land_surface,basement,building_state_agg,open_fire,longitude,latitude,coeff,price_area,fire,pool,furnish,kitchen,status
8903373,FALSE,SERVICE_FLAT,315000,3020,75,2,True,False,0,True,7,False,False,0,75,,False,4.6729085,50.9093659,2,3780.4878048781,0,0,0,5000,0
8953158,FALSE,APARTMENT,319000,1000,75,2,True,False,0,True,17,True,False,0,75,GOOD,False,4.3503609,50.8342772,2,3304.347826087,0,0,10000,5000,0
8938322,FALSE,APARTMENT,310000,3000,84,2,True,False,0,True,0,False,False,0,84,TO_RENOVATE,False,4.6936765,50.8814471,2,3930.9523809524,0,0,0,5000,-25200
8957462,FALSE,DUPLEX,395000,1180,125,3,True,False,0,True,12,False,False,0,125,,False,4.3254912,50.8013255,2,2846.7153284672,0,0,0,5000,0
8841489,FALSE,APARTMENT,447500,8300,75,2,False,False,0,False,0,False,False,0,75,GOOD,False,3.2897408,51.3438669,2,5966.6666666667,0,0,0,0,0
8660319,FALSE,APARTMENT,540000,8300,90,2,True,False,0,True,4,False,False,0,90,TO_RENOVATE,False,3.2929019,51.3518833,2,5991.4893617021,0,0,0,5000,-28200
8686703,FALSE,PENTHOUSE,595000,9300,206,3,True,False,0,True,0,False,False,0,206,,False,4.0330084,50.9381599,2,2864.0776699029,0,0,0,5000,0
8818793,FALSE,APARTMENT,915000,8300,124,3,True,False,0,True,11,False,False,0,124,,False,3.2882535,51.3467996,2,6740.7407407407,0,0,0,5000,0
8622364,FALSE,APARTMENT,930000,8300,104,3,True,False,0,True,0,False,False,0,104,AS_NEW,False,3.261912,51.3450013,2,8294.2307692308,0,0,0,5000,62400
8641869,FALSE,DUPLEX,950000,1000,239,3,True,False,0,True,5,False,False,0,239,GOOD,False,4.3981911,50.7970226,2,3872.9508196721,0,0,0,5000,0
8903355,FALSE,PENTHOUSE,990000,1050,130,3,True,False,0,True,51,False,False,0,130,AS_NEW,False,4.3693907,50.8186875,2,4841.9889502763,0,0,0,5000,108600
8948170,FALSE,APARTMENT,1195000,8300,110,3,True,False,0,True,0,False,False,0,110,AS_NEW,False,3.2296555,51.3399263,2,10218.1818181818,0,0,0,5000,66000
8572625,FALSE,APARTMENT,2975000,8300,190,4,True,False,0,True,0,False,False,0,190,AS_NEW,False,3.3108574,51.3566571,2,15031.5789473684,0,0,0,5000,114000
8954846,FALSE,APARTMENT,189900,6730,84,2,True,False,0,True,6,False,False,0,84,,False,5.5181009,49.6836018,2,2054.4444444445,0,0,0,5000,0
8940669,FALSE,APARTMENT,189900,6730,84,2,True,False,0,True,6,False,False,0,84,,False,5.5181009,49.6836018,2,2054.4444444445,0,0,0,5000,0
8951745,FALSE,APARTMENT,175000,8450,47,2,False,False,0,True,3,False,False,0,47,,False,2.9865179,51.2518266,2,3500,0,0,0,0,0
8956192,FALSE,PENTHOUSE,375000,8300,48,1,True,False,0,True,30,False,False,0,48,GOOD,False,3.2917001,51.3516101,2,4743.5897435898,0,0,0,5000,0
8928530,FALSE,APARTMENT,690000,8300,105,3,True,False,0,True,8,False,False,0,6,GOOD,False,3.2767963,51.3443471,2,6061.9469026549,0,0,0,5000,0
8815246,FALSE,GROUND_FLOOR,195000,8380,66,1,True,False,0,False,0,False,False,0,66,AS_NEW,False,3.1842284,51.3280869,2,2278.7878787879,0,0,0,5000,39600
8094135,FALSE,FLAT_STUDIO,75000,8670,34,0,False,False,0,False,0,True,False,0,34,GOOD,False,2.6106079,51.1113553,2,1911.7647058824,0,0,10000,0,0
8685689,FALSE,FLAT_STUDIO,89000,8430,28,0,False,False,0,True,0,True,False,0,28,GOOD,False,2.7952655,51.1795054,2,2821.4285714286,0,0,10000,0,0
8560436,FALSE,FLAT_STUDIO,89000,8430,28,0,False,False,0,True,0,True,False,0,28,GOOD,False,2.7952655,51.1795054,2,2821.4285714286,0,0,10000,0,0
