source,house_is,property_subtype,price,postcode,area,rooms_number,equipped_kitchen_has,garden,garden_area,terrace,terrace_area,furnished,swimming_pool_has,land_surface,basement,building_state_agg,open_fire,longitude,latitude
9004794,FALSE,APARTMENT,325000,1190,100,2,True,False,0,False,0,False,False,0,100,AS_NEW,False,4.3404017,50.8179269
9020130,FALSE,APARTMENT,385000,2540,90,2,True,False,0,True,17,False,False,0,90,AS_NEW,False,4.4768552,51.1567234
8980746,FALSE,PENTHOUSE,499000,2000,105,2,True,False,0,True,0,False,False,0,105,AS_NEW,False,4.4011369,51.2246704
8999527,FALSE,APARTMENT,790000,1000,160,3,False,False,0,True,23,False,False,0,160,JUST_RENOVATED,False,4.3395613,50.8412782
9035795,FALSE,APARTMENT,525000,8300,70,1,True,False,0,False,0,False,True,0,70,AS_NEW,False,3.2964181,51.3386549
9028052,FALSE,APARTMENT,490000,2000,100,2,True,False,0,True,18,False,False,0,100,,False,4.4154417,51.219116
9037739,FALSE,APARTMENT,379000,2930,100,2,True,False,0,True,0,False,False,0,100,AS_NEW,False,4.4910758,51.2954019
9007296,FALSE,DUPLEX,318000,5060,118,3,True,False,0,True,22,False,False,0,6,GOOD,False,4.6358282,50.4479751
9040381,FALSE,APARTMENT,169000,8400,82,2,False,False,0,False,0,True,False,0,82,GOOD,False,2.8791452,51.2160797
9041041,FALSE,APARTMENT,275000,8480,0,2,True,False,0,True,36,False,False,0,0,GOOD,False,3.031647,51.1303819
8989596,FALSE,APARTMENT,185000,1030,71,1,True,False,0,True,3,False,False,0,71,,False,4.3616395,50.8632347
8975218,FALSE,APARTMENT,615000,1050,131,2,True,False,0,True,12,False,False,0,131,AS_NEW,False,4.3564106,50.8305675
8975219,FALSE,APARTMENT,615000,1060,131,2,True,False,0,True,12,False,False,0,131,AS_NEW,False,4.3564106,50.8305675
8973162,FALSE,APARTMENT,680000,1050,160,3,True,False,0,True,10,False,False,0,160,AS_NEW,False,4.3564106,50.8305675
9044521,FALSE,APARTMENT,149000,2660,92,2,True,False,0,True,1,False,False,0,92,TO_RENOVATE,False,4.3572409,51.1711546
9043802,FALSE,APARTMENT,198000,1180,76,1,True,False,0,True,15,False,False,0,4,GOOD,False,4.3308572,50.8100433
9043436,FALSE,DUPLEX,545000,1050,140,3,True,False,0,True,0,False,False,0,140,AS_NEW,False,4.3745391,50.8296306
